sampleID	label	Detailed_location	include	PlantExperimentDetails	Location	Room_location	PlantExperiment	Department	Time_point	detail_Control	Live_dead	study	Confinement	Confinement_Numerisch
ICU_T1.1.1	ICU_T1.1.1	floor_under_bed_2m2	1	ICU	floor	isolation_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.1.2	ICU_T1.1.2	floor_under_bed_2m2	1	ICU	floor	isolation_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.11.1	ICU_T1.11.1	door_door_handle	1	ICU	door_handle	air_lock	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.11.2	ICU_T1.11.2	door_door_handle	1	ICU	door_handle	air_lock	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.12.1	ICU_T1.12.1	floor_under_bed_2m2	1	ICU	floor	2_bed_patient_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.12.2	ICU_T1.12.2	floor_under_bed_2m2	1	ICU	floor	2_bed_patient_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.13.1	ICU_T1.13.1	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	2_bed_patient_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.13.2	ICU_T1.13.2	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	2_bed_patient_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.14.1	ICU_T1.14.1	areas_around_touchscreen_and_keyboard	1	ICU	keyboard	2_bed_patient_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.14.2	ICU_T1.14.2	areas_around_touchscreen_and_keyboard	1	ICU	keyboard	2_bed_patient_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.17.1	ICU_T1.17.1	floor_in_front_of_oval_table_1m2	1	ICU	floor	waiting_area	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.17.2	ICU_T1.17.2	floor_in_front_of_oval_table_1m2	1	ICU	floor	waiting_area	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.18.1	ICU_T1.18.1	door_handle_hallway	1	ICU	door_handle	waiting_area	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.18.2	ICU_T1.18.2	door_handle_hallway	1	ICU	door_handle	waiting_area	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.19.1	ICU_T1.19.1	floor_1m2	1	ICU	floor	toilet	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.19.2	ICU_T1.19.2	floor_1m2	1	ICU	floor	toilet	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.2.1	ICU_T1.2.1	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	isolation_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.2.2	ICU_T1.2.2	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	isolation_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.20.1	ICU_T1.20.1	sink	1	ICU	sink	toilet	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.20.2	ICU_T1.20.2	sink	1	ICU	sink	toilet	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.21.1	ICU_T1.21.1	toilet_flush	1	ICU	toilet_flush	toilet	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.21.2	ICU_T1.21.2	toilet_flush	1	ICU	toilet_flush	toilet	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.22.1	ICU_T1.22.1	floor_1m2	1	ICU	floor	nurses_station	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.22.2	ICU_T1.22.2	floor_1m2	1	ICU	floor	nurses_station	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.23.1	ICU_T1.23.1	table_next_to_keyboard	1	ICU	table	nurses_station	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.23.2	ICU_T1.23.2	table_next_to_keyboard	1	ICU	table	nurses_station	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.24.1	ICU_T1.24.1	sink	1	ICU	sink	nurses_station	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_3	3
ICU_T1.24.2	ICU_T1.24.2	sink	1	ICU	sink	nurses_station	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_3	3
ICU_T1.3.1	ICU_T1.3.1	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	isolation_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.3.2	ICU_T1.3.2	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	isolation_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.4.1	ICU_T1.4.1	syringe_trolley	1	ICU	syringe_trolley	isolation_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.4.2	ICU_T1.4.2	syringe_trolley	1	ICU	syringe_trolley	isolation_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.5.1	ICU_T1.5.1	floor_under_bed_2m2	1	ICU	floor	examination_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.5.2	ICU_T1.5.2	floor_under_bed_2m2	1	ICU	floor	examination_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.6.1	ICU_T1.6.1	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	examination_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.6.2	ICU_T1.6.2	touchscreen_keyboard_pumpstation_and_around	1	ICU	pumpstation	examination_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.7.1	ICU_T1.7.1	syringe_trolley	1	ICU	syringe_trolley	examination_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.7.2	ICU_T1.7.2	syringe_trolley	1	ICU	syringe_trolley	examination_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.8.1	ICU_T1.8.1	bed	1	ICU	bed	examination_room	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.8.2	ICU_T1.8.2	bed	1	ICU	bed	examination_room	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T1.9.1	ICU_T1.9.1	floor_2m2	1	ICU	floor	air_lock	ICU	ICU	t1	Sample_ICU	DNA	resistome	Level_2	2
ICU_T1.9.2	ICU_T1.9.2	floor_2m2	1	ICU	floor	air_lock	ICU	ICU	t1	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.1.1	ICU_T2.1.1	floor_under_bed_2m2	1	ICU	floor	isolation_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.1.2	ICU_T2.1.2	floor_under_bed_2m2	1	ICU	floor	isolation_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.10.1	ICU_T2.10.1	sink	1	ICU	sink	air_lock	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.10.2	ICU_T2.10.2	sink	1	ICU	sink	air_lock	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.11.1	ICU_T2.11.1	door_door_handle	1	ICU	door_handle	air_lock	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.11.2	ICU_T2.11.2	door_door_handle	1	ICU	door_handle	air_lock	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.12.1	ICU_T2.12.1	floor_under_bed_2m2	1	ICU	floor	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.12.2	ICU_T2.12.2	floor_under_bed_2m2	1	ICU	floor	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.13.1	ICU_T2.13.1	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.13.2	ICU_T2.13.2	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.14.1	ICU_T2.14.1	areas_around_touchscreen_and_keyboard	1	ICU	keyboard	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.14.2	ICU_T2.14.2	areas_around_touchscreen_and_keyboard	1	ICU	keyboard	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.15.1	ICU_T2.15.1	working_trolley	1	ICU	working_trolley	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.15.2	ICU_T2.15.2	working_trolley	1	ICU	working_trolley	2_bed_patient_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.17.1	ICU_T2.17.1	floor_in_front_of_oval_table_1m2	1	ICU	floor	waiting_area	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
ICU_T2.17.2	ICU_T2.17.2	floor_in_front_of_oval_table_1m2	1	ICU	floor	waiting_area	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.18.1	ICU_T2.18.1	door_handle_hallway	1	ICU	door_handle	waiting_area	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
ICU_T2.18.2	ICU_T2.18.2	door_handle_hallway	1	ICU	door_handle	waiting_area	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.19.1	ICU_T2.19.1	floor_1m2	1	ICU	floor	toilet	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
ICU_T2.19.2	ICU_T2.19.2	floor_1m2	1	ICU	floor	toilet	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.2.1	ICU_T2.2.1	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	isolation_room	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_2	2
ICU_T2.2.2	ICU_T2.2.2	right_side_of_the_bed_the_whole_frame	1	ICU	bedframe	isolation_room	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_2	2
ICU_T2.20.1	ICU_T2.20.1	sink	1	ICU	sink	toilet	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
ICU_T2.20.2	ICU_T2.20.2	sink	1	ICU	sink	toilet	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.21.1	ICU_T2.21.1	toilet_flush	1	ICU	toilet_flush	toilet	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
ICU_T2.21.2	ICU_T2.21.2	toilet_flush	1	ICU	toilet_flush	toilet	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.22.1	ICU_T2.22.1	floor_1m2	1	ICU	floor	nurses_station	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
ICU_T2.22.2	ICU_T2.22.2	floor_1m2	1	ICU	floor	nurses_station	ICU	ICU	t2	Sample_ICU	PMA	resistome	Level_3	3
ICU_T2.23.1	ICU_T2.23.1	table_next_to_keyboard	1	ICU	table	nurses_station	ICU	ICU	t2	Sample_ICU	DNA	resistome	Level_3	3
