FeatureID	Domain	Phylum	Class	Order	Family	Genus	Species	RSV
2b673c41cb4274a517b4ed30cb3136c8	Bacteria	Actinobacteriota						1
e443553990c265b775e332c66e79aeae	Bacteria	Actinobacteriota						2
2961a15c3dc3c11ef5d5fd754dc2f45b	Bacteria	Actinobacteriota						3
ebb8ec63419af7b85dc28bef80d0facc	Bacteria	Actinobacteriota						4
a50f25b73579741090fa983d8317ee6b	Bacteria	Actinobacteriota						5
41728b02d2f033538fa56e49a547bad4	Bacteria	Actinobacteriota						6
53743816f48772cb979d36cf860b4062	Bacteria	Actinobacteriota						7
b26258d20e82de0146b979e7390d1866	Bacteria	Actinobacteriota						8
d34f144d2110e73d96b1365564d6241f	Bacteria	Actinobacteriota						9
758c2b515077592fdac2540b63fa0110	Bacteria	Actinobacteriota						10
1a4d93d156cf1f2638fa41840cc6734f	Bacteria	Actinobacteriota						11
106b9b8d1eead689b508f003206b2fab	Bacteria	Actinobacteriota						12
6133e5d8be6138487c8e18f1038f71bd	Bacteria	Actinobacteriota						13
e18cb0b9692e422238510594e3ef758f	Bacteria	Actinobacteriota						14
6bfb0bc65757c9e16ddab6779b34ca24	Bacteria	Actinobacteriota						15
65859ad89a67992614194001d9f86819	Bacteria	Actinobacteriota						16
c05174df10db14ac17994ef9000a499f	Bacteria	Actinobacteriota						17
2239b35248ce4f23812bc08c2e8cd794	Bacteria	Actinobacteriota						18
3c9138f963f63ecfd2224c184f3c3b90	Bacteria	Actinobacteriota						19
5e958afbe09ee998b4f3c4ddf504a070	Bacteria	Actinobacteriota						20
9541d1878171c68013b55e97536381dd	Bacteria	Armatimonadota						21
9abe44f133ab2e5bb4671bfd195fce7a	Bacteria	Armatimonadota						22
3abadc0bbff43435479e1648c954ecbe	Bacteria	Armatimonadota						23
5609c5887b46e3857c97808a7b2ca00a	Bacteria	Armatimonadota						24
7acc5fa79dbbd56ce28a66ebc0023735	Bacteria	Armatimonadota						25
479107c4835d11d2bdbcba674b695538	Bacteria	Armatimonadota						26
04b9559776f4354291bf4f4c52b20ae3	Bacteria	Armatimonadota						27
85c85fb172b7724208641640772b967f	Bacteria	Armatimonadota						28
4cc81c854eac47b0c5a9178c465b2c1c	Bacteria	Armatimonadota						29
eba3aabae2fc9ec0562eace5f24c5043	Bacteria	Chloroflexi	Chloroflexi_SHA-26					30
8d638c955a483ae6408d92f2d00f500e	Bacteria	Chloroflexi						31
f03bab436915dd9bd17f0840fa432023	Bacteria	Chloroflexi						32
74ce2e31cbd5a1e1e8b1f017bdb18cbd	Bacteria	Desulfobacterota						33
