sampleID	ICUot1P75_001_Xanthomonadaceae_Rep	ICUot1P75_002_Acinetobacter_Rep	ICUot1P75_003_Agrobacterium_sp_Rep	ICUot1P75_005_Propionibacterium_acnes	ICUot1P83_001_Acinetobacter	ICUot1P83_002_Actinomycetales	ICUot2P88_001_Xanthomonadaceae	ICUot2P88_002_Bacteria	ICUot2P96_001_Acinetobacter	ICUot3P101_003_Bacteria	ICUot3P109_003_Propionibacterium_acnes	ICUt1P13_002_Xanthomonadaceae	ICUt1P13_003_Acinetobacter	ICUt1P24_002_Propionibacterium_acnes	ICUt1P7_001_Acinetobacter	ICUt1P7_002_Propionibacterium_acnes	ICUt3P55_003_Flavobacterium	ICUt3P55_004_Gammaproteobacteria	ICUt3P55_008_Xanthomonadaceae	ICUt3P55_010_Weeksella_virosa	ICUt3P55_012_Schewanella	ICUt3P61_001_Bacteria	ICUt3P61_003_Propionibacterium_acnes	OPcombt1t2t3_001_Pseudomonas_Rep
Trimmomatic_on_ICUot1P75_1_R1_paired	1	1	1.145	1.42	1	1.69	1.11	1	1	1	1.805	0	1	1.695	1	1.425	0	3.15	0	0	0	1	1.005	1.69
Trimmomatic_on_ICUot1P83_1_R1_paired	1	1	0	0.5	1.215	1.17	1.115	1	1	1	1.605	0	1	1.055	1	1	0	0	0	0	0	1	1.41	1
Trimmomatic_on_ICUot2P88_1_R1_paired	1	1	1.13	0	1	1.97	1.135	1.14	1.09	0.5	1.59	0	1	1.185	1	1.83	0	0	0	0	0	1	1.79	1.145
Trimmomatic_on_ICUot2P96_1_R1_paired	1	1	0	0	1.33	1.48	1.185	1.04	1	1	1.075	0	1	1.505	1	1.125	0	0	0	0	0	1	1.49	1
Trimmomatic_on_ICUot3P101_1_R1_paired	0	1	1.48	0	1	1.12	1.24	1	1	1.21	1	0	1	1.235	1	0	1.27	2.765	1.205	3.18	0	1	1.08	1
Trimmomatic_on_ICUot3P109_1_R1_paired	1.155	1	0	0	1.165	1.575	1.12	1	1	1	1.47	1.12	1	1.505	1	1.86	1.085	1.925	0.54	1.59	0	1.205	1.39	1.37
Trimmomatic_on_ICUt1P13_1_R1_paired	1	1	1.235	0.72	1.42	1.515	1.12	1	1	1	1	0	1	1.05	1	1.19	0	0	0	0	0	1	1.39	1
Trimmomatic_on_ICUt1P24_1_R1_paired	1	1	1.92	0	1.67	1.64	1.195	1	1	1	1.195	0	1	1.185	1	1.3	1	1.115	0	0	1.025	1	1.275	2.49
Trimmomatic_on_ICUt1P7_1_R1_paired	1	1	1.175	0	1.565	1.565	1.12	1	1	1	1.12	0	1	1.04	1	1.445	0	0	0	0	0	1	1.515	1
Trimmomatic_on_ICUt2P31_1_R1_paired	1	1	1	0	1.54	1.6	1.025	1	1	1	1.105	0	1	1.01	1	2.29	0	0	0	0	0	1	1.465	1
Trimmomatic_on_ICUt2P37_1_R1_paired	1	1	1.155	0	1.87	1.55	1.135	1	1	1	1.245	0	1	1.37	1	1.545	0	0	0	0	0	1	1.39	1
Trimmomatic_on_ICUt2P48_1_R1_paired	1	1	0	0	1.77	1.575	1.085	1	1	1	1.165	0	1	2.07	1	2.265	0	0	0	0	0	1	1.455	1
Trimmomatic_on_ICUt3P55_1_R1_paired	0.5	1	1.04	0	1	2.125	1.09	1	1	1	1.655	0	1	1.81	1	0	1.07	1.365	1.08	1.27	1.555	1.23	1.56	1.43
Trimmomatic_on_ICUt3P61_1_R1_paired	1	1	1.375	0	1	1.2	1.53	1	1	1	1.12	1	1	1.175	1	1.04	1.17	1.565	1.135	1	1.845	1	1.05	1.97
Trimmomatic_on_ICUt3P72_1_R1_paired	1	1	0	0	1.555	1.63	1	1	1	1.595	1.94	0	1	1.635	1	2.03	1	1.135	1.205	1.51	2.03	1.155	1.71	1
Trimmomatic_on_OPcombt1t2t3_1_R1_paired	1	1	0	0	1	1.775	1	1	1	1	1.305	0	1	1.015	1	0.51	0	0	0	0	0	1	1.605	1.36
