COGs IDS	ICU0t1P75_002	ICU0t1P83_001	ICU0t2P96_001	ICUt1P13_003	ICUt1P7_001	ICU0t1P83_002	ICU0t1P75_003	ICU0t2P88_002	ICU0t3P101_003	ICUt2P37_004	ICUt3P61_001	ICU0t1P75_005	ICU0t3P109_003	ICUt1P24_002	ICUt1P7_002	ICUt3P61_003	ICUt3P55_003	ICUt3P55_004	OPcombt1t2t3_001	ICUt3P55_012	ICUt3P55_010	ICU0t1P75_001	ICU0t2P88_001	ICUt1P13_002	ICUt3P55_008
COG0706	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG0841	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG1292	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG1566	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG1633	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG1966	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG2059	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG2132	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG2367	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0.37051001	0.659347786	0.596580589	0.554583734	1.039173835	1.66922134	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
COG3965	0.984580676	1.840903353	1.713522208	1.064163341	1.882674806	1.256819484	0.915948185	6.3004293	3.067613967	4.77009648	2.478123575	0	0.659347786	0.596580589	0.554583734	1.039173835	0	2.05428225	17.223904	1.1882886	1.406064	1.794705017	4.676443167	1.45625927	1.6361235
