feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
shannon	Confinement	Level_3	0.131711678423009	0.0299484047630578	15	15	0.000868504249598012	0.00369103254664221
pielou_evenness	Confinement	Level_3	0.199494877727389	0.0431883596235491	15	15	0.000591024979087838	0.00369103254664221
evar_evenness	Confinement	Level_3	0.162242484253732	0.0372138201911476	15	15	0.000928792862491827	0.00369103254664221
bulla_evenness	Confinement	Level_3	0.20004126829833	0.0472122212214849	15	15	0.00115344767082569	0.00369103254664221
chao1_richness	Confinement	Level_3	-0.000311424279663699	6.38529553364716e-05	15	15	0.000380310841153079	0.00369103254664221
simpson_evenness	Confinement	Level_3	0.516949486293618	0.178215628503446	15	15	0.0133090812200136	0.0354908832533695
shannon	Time_point	Time_point	0.0368444958766475	0.015186613024698	15	15	0.0319584402838565	0.0730478635059577
Bray_Curtis	Time_point	Time_point	0.123038036207344	0.0546118529911558	15	15	0.0437634503937964	0.0875269007875928
chao1_richness	Time_point	Time_point	-6.27613767568239e-05	3.23793581277654e-05	15	15	0.0764679898637096	0.135943093091039
pielou_evenness	Time_point	Time_point	0.031590541035166	0.0219004955343527	15	15	0.174762283568865	0.257876301951529
Bray_Curtis	Confinement	Level_3	0.154368010798576	0.107696026466195	15	15	0.177289957591677	0.257876301951529
bulla_evenness	Time_point	Time_point	0.021256422623386	0.0239409657843132	15	15	0.392060408812144	0.522747211749526
camargo_evenness	Confinement	Level_3	0.0345745302864668	0.0526626520411415	15	15	0.523874843233976	0.644769037826432
evar_evenness	Time_point	Time_point	0.0072379480470517	0.0188708510815502	15	15	0.708019532689834	0.809165180216954
camargo_evenness	Time_point	Time_point	-0.00341388012063875	0.0267048386627149	15	15	0.900394915625376	0.900394915625376
simpson_evenness	Time_point	Time_point	0.0170412353996105	0.0903718180132822	15	15	0.853582811176668	0.900394915625376
