feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
camargo_evenness	Confinement	Level_3	-0.266920770337205	0.106300706732766	15	15	0.0273576950653674	0.437723121045878
Bray_Curtis	Time_point	Time_point	0.156123107367888	0.0734950112779964	15	15	0.0551146500086359	0.440917200069087
chao1_Richness	Confinement	Level_3	0.0172090721488134	0.012335544993935	15	15	0.188275728923152	0.460247926203828
chao1_Richness	Time_point	Time_point	-0.00682694021371031	0.00625526300161151	15	15	0.29652938395122	0.460247926203828
pielou_evenness	Confinement	Level_3	-0.102000422896283	0.0756221340170527	15	15	0.202299475802855	0.460247926203828
pielou_evenness	Time_point	Time_point	0.044203366269726	0.0383474209896973	15	15	0.271476033385132	0.460247926203828
simpson_evenness	Confinement	Level_3	0.215454185669947	0.173106025981216	15	15	0.237025306716001	0.460247926203828
evar_evenness	Confinement	Level_3	-0.139252816369943	0.0921806239180986	15	15	0.156753316504215	0.460247926203828
bulla_evenness	Confinement	Level_3	-0.101454032325342	0.0892645016281637	15	15	0.277912187696124	0.460247926203828
shannon	Time_point	Time_point	0.0282795341126913	0.0270502635624923	15	15	0.316420449265132	0.460247926203828
Bray_Curtis	Confinement	Level_3	-0.169925678741125	0.144934116793478	15	15	0.2637728704005	0.460247926203828
shannon	Confinement	Level_3	-0.0517400889648751	0.053343839129859	15	15	0.351222984564839	0.468297312753119
bulla_evenness	Time_point	Time_point	0.0338692478579469	0.0452653640083579	15	15	0.468728371366017	0.576896457065867
evar_evenness	Time_point	Time_point	0.0198507732816135	0.0467441079047462	15	15	0.678592724730837	0.775534542549528
simpson_evenness	Time_point	Time_point	0.0296540606341702	0.0877807766263018	15	15	0.741335462379368	0.790757826537993
camargo_evenness	Time_point	Time_point	0.00919894511392152	0.0539042967455073	15	15	0.867339962638759	0.867339962638759
