feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
chao1_Richness	Confinement	Level_3	0.117892547625232	0.0278389206429466	16	16	0.00140104054480363	0.0314827566190951
chao1_Richness	Confinement	Level_2	0.100683475476418	0.0272375771553253	16	16	0.00352307466359862	0.0314827566190951
pielou_evenness	Confinement	Level_3	-0.619640967547061	0.170554920623832	16	16	0.00393534457738689	0.0314827566190951
Bray_Curtis	Confinement	Level_3	-1.14876255613143	0.302368798841949	16	16	0.00294731190245821	0.0314827566190951
shannon	Confinement	Level_3	-0.405848790873559	0.120531626556887	16	16	0.00628377927919356	0.0371711543479157
Bray_Curtis	Confinement	Level_2	-0.978836877390305	0.295837385128912	16	16	0.0069695914402342	0.0371711543479157
pielou_evenness	Confinement	Level_2	-0.517640544650778	0.166870794643722	16	16	0.0100673558409773	0.04536866794731
simpson_evenness	Confinement	Level_2	-1.10215590444261	0.371176220380998	16	16	0.0127599378601809	0.04536866794731
shannon	Confinement	Level_2	-0.354108701908684	0.117928044700679	16	16	0.012020564367465	0.04536866794731
evar_evenness	Confinement	Level_3	-0.590836427278092	0.206840847951783	16	16	0.0156147053824889	0.0499670572239646
bulla_evenness	Confinement	Level_3	-0.54192464977838	0.201145969184589	16	16	0.0208724559089731	0.0607198717351945
simpson_evenness	Confinement	Level_3	-0.886701718772669	0.379370943487725	16	16	0.039359618854531	0.104958983612083
evar_evenness	Confinement	Level_2	-0.451583610908149	0.202372916221054	16	16	0.0474064452445948	0.10633767346229
bulla_evenness	Confinement	Level_2	-0.440470617453037	0.196801051499677	16	16	0.0468527209794004	0.10633767346229
Bray_Curtis	Time_point	3	0.369454703669542	0.167724032050016	16	16	0.0498457844354482	0.10633767346229
camargo_evenness	Confinement	Level_3	-0.471751016578089	0.240027217863284	16	16	0.0751184466448229	0.150236893289646
pielou_evenness	Time_point	3	0.10460425661331	0.0946068479372178	16	16	0.292463906666659	0.550520294901947
chao1_Richness	Time_point	3	-0.0161554891915045	0.015442254743341	16	16	0.317919459487715	0.565190150200383
shannon	Time_point	3	0.0669215920158277	0.0668589169024511	16	16	0.338367101434989	0.569881433995771
camargo_evenness	Confinement	Level_2	-0.204830246240883	0.234842433360854	16	16	0.401734819303286	0.612167343700246
simpson_evenness	Time_point	2	0.186791368866058	0.210437136794791	16	16	0.39373162073184	0.612167343700246
bulla_evenness	Time_point	3	0.0801492690084762	0.111575708576606	16	16	0.487525362161229	0.709127799507243
shannon	Time_point	2	0.033181876230786	0.066858916902451	16	16	0.629452677894516	0.875760247505413
chao1_Richness	Time_point	2	-0.0058993445639047	0.015442254743341	16	16	0.709719379518228	0.876958186884826
pielou_evenness	Time_point	2	0.0357738079262412	0.0946068479372178	16	16	0.712528526843921	0.876958186884826
evar_evenness	Time_point	3	0.0469755033960997	0.114734658946247	16	16	0.690085501509047	0.876958186884826
simpson_evenness	Time_point	3	0.0701743154418521	0.210437136794791	16	16	0.745050097629815	0.883022337931633
camargo_evenness	Time_point	2	0.024933511179301	0.133143144848159	16	16	0.85485959592329	0.923741438240948
camargo_evenness	Time_point	3	0.0217686772857268	0.133143144848159	16	16	0.873091342438195	0.923741438240948
evar_evenness	Time_point	2	-0.0155153205025045	0.114734658946247	16	16	0.894874518295919	0.923741438240948
bulla_evenness	Time_point	2	0.0163713526446548	0.111575708576606	16	16	0.886000814367907	0.923741438240948
Bray_Curtis	Time_point	2	-0.0156542732261247	0.167724032050016	16	16	0.927316881026014	0.927316881026014
