OTU_ID	General_Stress_Response_and_Stationary_Phase_Response	Stress_Response	Virulence	Virulence_Disease_and_Defense
ICUot1P75	56	6510	8423	205
ICUot1P83	93	5742	6912	324
ICUot2P88	58	5888	7370	221
ICUot2P96	80	5449	6520	385
ICUot3P101	55	6861	10425	279
ICUot3P109	78	5466	6503	566
ICUt1P13	78	5195	5801	417
ICUt1P24	121	5908	7588	378
ICUt1P7	78	5114	5657	541
ICUt2P31	68	5386	5951	841
ICUt2P37	72	5027	5448	470
ICUt2P48	84	5170	5372	555
ICUt3P55	117	5795	10186	239
ICUt3P61	94	6314	8390	305
ICUt3P72	81	5419	6904	983
