feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Stress_Response	Confinement	Level1	-0.310664259015246	0.0859907554342835	16	16	0.00407777690121307	0.0652444304194091
Stress_Response	Time_point	3	-0.134208838118847	0.0476990889129527	16	16	0.0168578948345394	0.134863158676315
General_Stress_Response_and_Stationary_Phase_Response	Confinement	Level2	0.462678487222264	0.185445133889338	16	16	0.0297717744263564	0.158782796940568
Virulence	Confinement	Level1	0.1801066133119	0.10176485025835	16	16	0.104431304813498	0.334180175403195
Virulence_Disease_and_Defense	Confinement	Level2	0.755738916891101	0.403531723477873	16	16	0.0878963190648357	0.334180175403195
Virulence	Time_point	3	0.0902645131817879	0.0564489824071377	16	16	0.138115813082591	0.368308834886909
Virulence	Confinement	Level2	-0.0600977459388162	0.0470408186726147	16	16	0.227707103256201	0.520473378871316
General_Stress_Response_and_Stationary_Phase_Response	Time_point	3	-0.203499475563416	0.222534160667206	16	16	0.380081811351512	0.608130898162419
Virulence	Time_point	2	-0.0547752162338403	0.0564489824071377	16	16	0.352725574209474	0.608130898162419
Virulence_Disease_and_Defense	Time_point	2	0.447848854188887	0.484238068173448	16	16	0.374886418740014	0.608130898162419
Virulence_Disease_and_Defense	Confinement	Level1	0.67036332732988	0.872972592165497	16	16	0.458709039610138	0.667213148523837
Stress_Response	Time_point	2	0.0266307627540875	0.0476990889129527	16	16	0.587818171251945	0.783757561669261
General_Stress_Response_and_Stationary_Phase_Response	Time_point	2	-0.0975603981765257	0.222534160667206	16	16	0.669577232306955	0.824095055147021
General_Stress_Response_and_Stationary_Phase_Response	Confinement	Level1	0.0553473578225763	0.401179163413977	16	16	0.892763742975414	0.995334386827113
Stress_Response	Confinement	Level2	0.00212132934455395	0.0397492407607939	16	16	0.958395756741534	0.995334386827113
Virulence_Disease_and_Defense	Time_point	3	-0.00289659172698056	0.484238068173448	16	16	0.995334386827113	0.995334386827113
