SEED	functions_L1	functions_L2	functions_L3
seed1	L1_Aceton metabolism	L2_Acetone carboxylase subunits 2	"L3_Acetone carboxylase, alpha subunit (EC 6.4.1.6)"
seed2	L1_Aceton metabolism	L2_Acetone carboxylase subunits 2	"L3_Acetone carboxylase, beta subunit (EC 6.4.1.6)"
seed3	L1_Aceton metabolism	L2_Acetone carboxylase subunits 2	"L3_Acetone carboxylase, gamma subunit (EC 6.4.1.6)"
seed4	L1_Amino Acids and Derivatives	L2_A Hypothetical Protein Related to Proline Metabolism	L3_Pyrroline-5-carboxylate reductase (EC 1.5.1.2)
seed5	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	L3_Alanine racemase (EC 5.1.1.1)
seed6	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	"L3_Alanine racemase, biosynthetic (EC 5.1.1.1)"
seed7	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	"L3_Alanine racemase, catabolic (EC 5.1.1.1)"
seed8	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	L3_Branched-chain amino acid aminotransferase (EC 2.6.1.42)
seed9	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	L3_Cysteine desulfurase (EC 2.8.1.7)
seed10	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	"L3_Cysteine desulfurase (EC 2.8.1.7), IscS subfamily"
seed11	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	"L3_Cysteine desulfurase (EC 2.8.1.7), NifS subfamily"
seed12	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	"L3_Cysteine desulfurase (EC 2.8.1.7), SufS subfamily"
seed13	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	"L3_Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA"
seed14	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	L3_HTH-type transcriptional regulator IlvY
seed15	L1_Amino Acids and Derivatives	L2_Alanine biosynthesis	L3_Valine--pyruvate aminotransferase (EC 2.6.1.66)
seed16	L1_Amino Acids and Derivatives	"L2_Alanine, serine, glycine metabolism in plants"	L3_D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
seed17	L1_Amino Acids and Derivatives	"L2_Alanine, serine, glycine metabolism in plants"	L3_L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)
seed18	L1_Amino Acids and Derivatives	"L2_Alanine, serine, glycine metabolism in plants"	L3_Low-specificity L-threonine aldolase (EC 4.1.2.48)
seed19	L1_Amino Acids and Derivatives	"L2_Alanine, serine, glycine metabolism in plants"	L3_Phosphoserine aminotransferase (EC 2.6.1.52)
seed20	L1_Amino Acids and Derivatives	"L2_Alanine, serine, glycine metabolism in plants"	L3_Phosphoserine phosphatase (EC 3.1.3.3)
seed21	L1_Amino Acids and Derivatives	"L2_Alanine, serine, glycine metabolism in plants"	L3_Serine hydroxymethyltransferase (EC 2.1.2.1)
seed22	L1_Amino Acids and Derivatives	"L2_Alanine, serine, glycine metabolism in plants"	L3_Serine--glyoxylate aminotransferase (EC 2.6.1.45)
seed23	L1_Amino Acids and Derivatives	L2_Amino acid racemase	L3_2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)
seed24	L1_Amino Acids and Derivatives	L2_Amino acid racemase	L3_4-hydroxyproline epimerase (EC 5.1.1.8)
seed25	L1_Amino Acids and Derivatives	L2_Amino acid racemase	L3_Aspartate racemase (EC 5.1.1.13)
seed26	L1_Amino Acids and Derivatives	L2_Amino acid racemase	L3_Diaminopimelate epimerase (EC 5.1.1.7)
seed27	L1_Amino Acids and Derivatives	L2_Amino acid racemase	L3_Glutamate racemase (EC 5.1.1.3)
seed28	L1_Amino Acids and Derivatives	L2_Amino acid racemase	"L3_Not a Proline racemase, nor 4-hydroxyproline epimerase [missing catalytic residues]"
seed29	L1_Amino Acids and Derivatives	L2_Amino acid racemase	L3_Proline racemase (EC 5.1.1.4)
seed30	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Agmatinase (EC 3.5.3.11)
seed31	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Agmatine deiminase (EC 3.5.3.12)
seed32	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginase (EC 3.5.3.1)
seed33	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine ABC transporter, ATP-binding protein ArtP"
seed34	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine ABC transporter, periplasmic arginine-binding protein ArtI"
seed35	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine ABC transporter, periplasmic arginine-binding protein ArtJ"
seed36	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine ABC transporter, permease protein ArtM"
seed37	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine ABC transporter, permease protein ArtQ"
seed38	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine decarboxylase (EC 4.1.1.19)
seed39	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine decarboxylase, catabolic (EC 4.1.1.19)"
seed40	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine deiminase (EC 3.5.3.6)
seed41	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine N-succinyltransferase (EC 2.3.1.109)
seed42	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine N-succinyltransferase, alpha subunit (EC 2.3.1.109)"
seed43	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine pathway regulatory protein ArgR, repressor of arg regulon"
seed44	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine permease RocE
seed45	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine utilization protein RocB
seed46	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine utilization regulatory protein RocR
seed47	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine/agmatine antiporter
seed48	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine/ornithine ABC transporter, ATP-binding protein AotP"
seed49	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine/ornithine ABC transporter, periplasmic arginine/ornithine binding protein"
seed50	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine/ornithine ABC transporter, permease protein AotM"
seed51	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Arginine/ornithine ABC transporter, permease protein AotQ"
seed52	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Arginine/ornithine antiporter ArcD
seed53	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Biosynthetic arginine decarboxylase (EC 4.1.1.19)
seed54	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Carbamate kinase (EC 2.7.2.2)
seed55	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)
seed56	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)"
seed57	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Histidine ABC transporter, histidine-binding periplasmic protein precursor HisJ (TC 3.A.1.3.1)"
seed58	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)"
seed59	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)"
seed60	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)
seed61	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_NADP-specific glutamate dehydrogenase (EC 1.4.1.4)
seed62	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Ornithine aminotransferase (EC 2.6.1.13)
seed63	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Ornithine carbamoyltransferase (EC 2.1.3.3)
seed64	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Ornithine cyclodeaminase (EC 4.3.1.12)
seed65	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Ornithine decarboxylase (EC 4.1.1.17)
seed66	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Putrescine aminotransferase (EC 2.6.1.82)
seed67	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Succinylarginine dihydrolase (EC 3.5.3.23)
seed68	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Succinylglutamate desuccinylase (EC 3.5.1.96)
seed69	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)
seed70	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Succinylornithine transaminase (EC 2.6.1.81)
seed71	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	"L3_Transcriptional regulator ArcR essential for anaerobic expression of the ADI pathway, Crp/Fnr family"
seed72	L1_Amino Acids and Derivatives	L2_Arginine and Ornithine Degradation	L3_Transcriptional regulator of catabolic arginine decarboxylase (adiA)
seed73	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Acetylglutamate kinase (EC 2.7.2.8)
seed74	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Acetylornithine aminotransferase (EC 2.6.1.11)
seed75	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Acetylornithine aminotransferase 1 (EC 2.6.1.11)
seed76	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Acetylornithine aminotransferase 2 (EC 2.6.1.11)
seed77	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Acetylornithine deacetylase (EC 3.5.1.16)
seed78	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Argininosuccinate lyase (EC 4.3.2.1)
seed79	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Argininosuccinate synthase (EC 6.3.4.5)
seed80	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Glutamate N-acetyltransferase (EC 2.3.1.35)
seed81	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)
seed82	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_N-acetylglutamate synthase (EC 2.3.1.1)
seed83	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_N-acetylornithine carbamoyltransferase (EC 2.1.3.9)
seed84	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	"L3_N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)"
seed85	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Predicted amino-acid acetyltransferase (EC 2.3.1.1) complementing ArgA function in Arginine Biosynthesis pathway
seed86	L1_Amino Acids and Derivatives	L2_Arginine Biosynthesis extended	L3_Predicted arginine uptake transporter
seed87	L1_Amino Acids and Derivatives	L2_Arginine deiminase and agmatine deiminase pathways in Streptococci	"L3_Agmatine/putrescine antiporter, associated with agmatine catabolism"
seed88	L1_Amino Acids and Derivatives	L2_Arginine deiminase and agmatine deiminase pathways in Streptococci	L3_Asparaginyl-tRNA synthetase (EC 6.1.1.22)
seed89	L1_Amino Acids and Derivatives	L2_Arginine deiminase and agmatine deiminase pathways in Streptococci	L3_Aspartate aminotransferase (EC 2.6.1.1)
seed90	L1_Amino Acids and Derivatives	L2_Arginine deiminase and agmatine deiminase pathways in Streptococci	"L3_NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)"
seed91	L1_Amino Acids and Derivatives	L2_Arginine deiminase and agmatine deiminase pathways in Streptococci	L3_Putrescine carbamoyltransferase (EC 2.1.3.6)
seed92	L1_Amino Acids and Derivatives	L2_Arginine deiminase and agmatine deiminase pathways in Streptococci	L3_Spermidine synthase (EC 2.5.1.16)
seed93	L1_Amino Acids and Derivatives	L2_Arginine metabolism and urea cycle in plants	L3_Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
seed94	L1_Amino Acids and Derivatives	L2_Arginine metabolism and urea cycle in plants	L3_Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
seed95	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)"
seed96	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)"
seed97	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)"
seed98	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)
seed99	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)
seed100	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)
seed101	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)"
seed102	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase."
seed103	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Anthranilate dioxygenase large subunit
seed104	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Anthranilate dioxygenase reductase
seed105	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Anthranilate dioxygenase small subunit
seed106	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Aromatic amino acid transport protein AroP
seed107	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Aromatic ring-opening dioxygenase
seed108	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)
seed109	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Homoprotocatechuate degradative operon repressor
seed110	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Indoleacetamide hydrolase (EC 3.5.1.-)
seed111	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_Kynurenine formamidase, bacterial (EC 3.5.1.9)"
seed112	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Phenylalanine hydroxylase transcriptional activator PhhR
seed113	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Phenylalanine-4-hydroxylase (EC 1.14.16.1)
seed114	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Phenylalanine-specific permease
seed115	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_Predicted 2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase"
seed116	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Probable 5-carboxymethyl-2-hydroxymuconate delta isomerase
seed117	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_Putative 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
seed118	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Putative 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase oxidoreductase protein (EC 1.2.1.60)
seed119	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Putative fumarylacetoacetate (FAA) hydrolase
seed120	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	"L3_Tryptophan 2,3-dioxygenase (EC 1.13.11.11)"
seed121	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Tryptophan 2-monooxygenase (EC 1.13.12.3)
seed122	L1_Amino Acids and Derivatives	L2_Aromatic amino acid degradation	L3_Tryptophanase (EC 4.1.99.1)
seed123	L1_Amino Acids and Derivatives	L2_Aromatic amino acid interconversions with aryl acids	L3_Amino acid-binding ACT
seed124	L1_Amino Acids and Derivatives	L2_Aromatic amino acid interconversions with aryl acids	"L3_Indolepyruvate ferredoxin oxidoreductase, alpha and beta subunits"
seed125	L1_Amino Acids and Derivatives	L2_Aromatic amino acid interconversions with aryl acids	L3_Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8)
seed126	L1_Amino Acids and Derivatives	L2_Aromatic amino acid interconversions with aryl acids	L3_Indolepyruvate oxidoreductase subunit IorA-like (EC 1.2.7.8)
seed127	L1_Amino Acids and Derivatives	L2_Aromatic amino acid interconversions with aryl acids	L3_Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)
seed128	L1_Amino Acids and Derivatives	L2_Aromatic amino acid interconversions with aryl acids	L3_Indolepyruvate oxidoreductase subunit IorB II (EC 1.2.7.8)
seed129	L1_Amino Acids and Derivatives	L2_Aromatic amino acid interconversions with aryl acids	L3_Phenylacetate-coenzyme A ligase (EC 6.2.1.30)
seed130	L1_Amino Acids and Derivatives	L2_Bacilysin biosynthesis	L3_Alanine-anticapsin ligase BacD
seed131	L1_Amino Acids and Derivatives	L2_Bacilysin biosynthesis	L3_Bacilysin biosynthesis protein BacB
seed132	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)
seed133	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)
seed134	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	L3_Acetoacetyl-CoA synthetase (EC 6.2.1.16)
seed135	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	"L3_Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)"
seed136	L1_Amino Acids and Derivatives	L2_Branched chain amino acid degradation regulons	"L3_Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)"
