sampleID	label	Detailed_location	Room_location	Department	Study	Time_point	Confinement
ICUot1P75	ICUot1P75	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3
ICUot1P83	ICUot1P83	Nurses_station_floor	Nurses_station	ICU	Resistome	t1	Level_3
ICUot2P88	ICUot2P88	Waiting_area_floor	Waiting_area	ICU	Resistome	t2	Level_3
ICUot2P96	ICUot2P96	Nurses_station_floor	Nurses_station	ICU	Resistome	t2	Level_3
ICUot3P101	ICUot3P101	Waiting_area_floor	Waiting_area	ICU	Resistome	t3	Level_3
ICUot3P109	ICUot3P109	Nurses_station_floor	Nurses_station	ICU	Resistome	t3	Level_3
ICUt1P13	ICUt1P13	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2
ICUt1P24	ICUt1P24	2_bed_patient_room_floor	2_bed_patient_room	ICU	Resistome	t1	Level_2
ICUt1P7	ICUt1P7	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2
ICUt2P31	ICUt2P31	Isolation_room_floor	Isolation_room	ICU	Resistome	t2	Level_2
ICUt2P37	ICUt2P37	Examination_room_floor	Examination_room	ICU	Resistome	t2	Level_2
ICUt2P48	ICUt2P48	2_bed_patient_room_floor	2_bed_patient_room	ICU	Resistome	t2	Level_2
ICUt3P55	ICUt3P55	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2
ICUt3P61	ICUt3P61	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2
ICUt3P72	ICUt3P72	2_bed_patient_room_floor	2_bed_patient_room	ICU	Resistome	t3	Level_2
OPcombt1t2t3	OPcombt1t2t3	operating_room_floor	Operating_room	Surgery_Department	Resistome	t1_t2_t3_combined	Level_1
PlantT0P1	PlantT0P1	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t0	no
PlantT0P2	PlantT0P2	Waiting_area_floor	Waiting_area_hallway	Pulmonology	Plant	t0	no
PlantT0P3	PlantT0P3	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t0	no
PlantT2P1	PlantT2P1	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t2	no
PlantT2P2	PlantT2P2	Waiting_area_floor	Waiting_area_hallway	Pulmonology	Plant	t2	no
PlantT2P3	PlantT2P3	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t2	no
PlantT4P1	PlantT4P1	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t4	no
PlantT4P2	PlantT4P2	Waiting_area_floor	Waiting_area_hallway	Pulmonology	Plant	t4	no
PlantT4P3	PlantT4P3	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t4	no
PlantT5P1	PlantT5P1	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t5	no
PlantT5P2	PlantT5P2	Waiting_area_floor	Waiting_area_hallway	Pulmonology	Plant	t5	no
PlantT5P3	PlantT5P3	Waiting_area_floor	Waiting_area_station	Pulmonology	Plant	t5	no
