rootID	Domain	Phylum	Sub_phylum	Class	Order	Family	Genus	Species	Strain
root_1	Bacteria	Acidobacteria							
root_2	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		
root_3	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Bacteroidia	Bacteroidales	Odoribacteraceae			
root_4	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas		
root_5	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		
root_6	Bacteria	FCBgroup	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_copri	
root_7	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes		
root_8	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides		
root_9	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Chitinophagia	Chitinophagales	Chitinophagaceae			
root_10	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Cytophagia	Cytophagales	Cytophagaceae			
root_11	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter		
root_12	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium_hominis	
root_13	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cloacibacterium	Cloacibacterium_normanense	
root_14	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter	Empedobacter_falsenii	
root_15	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_sasangense	
root_16	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Flavobacteriia	Flavobacteriales				
root_17	Bacteria	FCBgroup	Bacteroidetes/Chlorobigroup	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			
root_18	Bacteria	FCBgroup	Gemmatimonadetes						
root_19	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		
root_20	Bacteria	Fusobacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae			
root_21	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas		
root_22	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium		
root_23	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae			
root_24	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		
root_25	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae			
root_26	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium_tumefaciens	
root_27	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_sphaerophysae	
root_28	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_yeei	
