COGs IDS	COG_Ids	func	name
COG0001	COG0001	H	Glutamate-1-semialdehyde aminotransferase
COG0002	COG0002	E	N-acetyl-gamma-glutamylphosphate reductase
COG0003	COG0003	P	Anion-transporting ATPase, ArsA/GET3 family
COG0004	COG0004	P	Ammonia channel protein AmtB
COG0005	COG0005	F	Purine nucleoside phosphorylase
COG0006	COG0006	E	Xaa-Pro aminopeptidase
COG0007	COG0007	H	Uroporphyrinogen-III methylase (siroheme synthase)
COG0008	COG0008	J	Glutamyl- or glutaminyl-tRNA synthetase
COG0009	COG0009	J	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
COG0010	COG0010	E	Arginase family enzyme
COG0011	COG0011	S	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family
COG0012	COG0012	J	Ribosome-binding ATPase YchF, GTP1/OBG family
COG0013	COG0013	J	Alanyl-tRNA synthetase
COG0014	COG0014	E	Gamma-glutamyl phosphate reductase
COG0015	COG0015	F	Adenylosuccinate lyase
COG0016	COG0016	J	Phenylalanyl-tRNA synthetase alpha subunit
COG0017	COG0017	J	Aspartyl/asparaginyl-tRNA synthetase
COG0018	COG0018	J	Arginyl-tRNA synthetase
COG0019	COG0019	E	Diaminopimelate decarboxylase
COG0020	COG0020	I	Undecaprenyl pyrophosphate synthase
COG0021	COG0021	G	Transketolase
COG0022	COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component
COG0023	COG0023	J	Translation initiation factor 1 (eIF-1/SUI1)
COG0024	COG0024	J	Methionine aminopeptidase
COG0025	COG0025	P	NhaP-type Na+/H+ or K+/H+ antiporter
COG0026	COG0026	F	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0027	COG0027	F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
COG0028	COG0028	E	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
COG0029	COG0029	H	Aspartate oxidase
COG0030	COG0030	J	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)
COG0031	COG0031	E	Cysteine synthase
COG0033	COG0033	G	Phosphoglucomutase
COG0034	COG0034	F	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	COG0035	F	Uracil phosphoribosyltransferase
COG0036	COG0036	G	Pentose-5-phosphate-3-epimerase
COG0037	COG0037	J	tRNA(Ile)-lysidine synthase TilS/MesJ
COG0038	COG0038	P	H+/Cl- antiporter ClcA
COG0039	COG0039	C	Malate/lactate dehydrogenase
COG0040	COG0040	E	ATP phosphoribosyltransferase
COG0041	COG0041	F	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	J	tRNA-dihydrouridine synthase
COG0043	COG0043	H	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0044	COG0044	F	Dihydroorotase or related cyclic amidohydrolase
COG0045	COG0045	C	Succinyl-CoA synthetase, beta subunit
