Label	Type	Frame	Begin	End	Mutation	Gene	Product	Score	OG_id	COGclassID	ClassDescription	COGprocess
ICUT1P7001_v1_20001	CDS	1	1873	3204	no		transposase	898.3	05VNT	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_50003	CDS	1	10780	11082	no		protein of unknown function	149.1	0A5NM	O	"Posttranslational modification, protein turnover, chaperones"	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_80001	CDS	3	14433	14606	no		protein of unknown function	91.7	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_80002	CDS	1	14488	14676	no		protein of unknown function	85.5	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_80003	CDS	2	14633	14827	no		protein of unknown function	95.9	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_80004	CDS	1	14803	14967	no		protein of unknown function	89	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_80005	CDS	2	14978	15112	no		protein of unknown function	73.9	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_80006	CDS	2	15392	15700	no		protein of unknown function	119	0J5UN	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_80007	CDS	2	15782	15976	no		protein of unknown function	95.9	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_90001	CDS	2	16271	16627	no		protein of unknown function	196.4	COG1890	J	"Translation, ribosomal structure and biogenesis"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_90002	CDS	1	16624	17061	no		protein of unknown function	282.7	COG1890	J	"Translation, ribosomal structure and biogenesis"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_120002	CDS	2	25946	26269	no		protein of unknown function	221.5	05P6R	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_150001	CDS	2	29561	29968	no		Acetoin dehydrogenase E1 component beta-subunit	260.4	04RPQ	C	Energy production and conversion	METABOLISM
ICUT1P7001_v1_150002	CDS	3	29982	30995	no		Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex	624.8	05C7S	C	Energy production and conversion	METABOLISM
ICUT1P7001_v1_160001	CDS	2	31103	32860	no		protein of unknown function	229.6	07WXS	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_160002	CDS	2	33011	34540	no		RND transporter	555.4	08SUY	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_160002	CDS	2	33011	34540	no		RND transporter	555.4	08SUY	U	"Intracellular trafficking, secretion, and vesicular transport"	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_160003	CDS	1	34537	36663	no		Type I secretion system permease/ATPase	1074.3	08JJA	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_160004	CDS	3	36663	37856	no		Membrane fusion protein (MFP) family protein	615.9	05C42	U	"Intracellular trafficking, secretion, and vesicular transport"	CELLULAR PROCESSES AND SIGNALING
